,aveIF,cocount2008,count5years,highIF,his_count,modi_name,revcount,selfcount2008,sumIF,t_cost,zipcode
0,6.43922,22,50,40.137,79.0,"AAGAARD, KJERSTI",8,50,321.961,5935639.0,77030
1,4.6186,1,3,8.406,11.0,"AALBERTS, DANIEL",0,5,23.093,255304.0,1267
2,3.31805555556,46,38,10.228,137.0,"AARONS, GREGORY",4,54,179.175,7591797.0,92093
3,8.82092307692,25,5,27.407,66.0,"AARONSON, STUART",0,13,114.672,1375198.0,10029
4,0.0,5,0,0.0,8.0,"ABADI, MELISSA",0,0,0.0,107828.0,20705
5,5.80972727273,8,8,19.309,25.0,"ABADIR, PETER",2,11,63.907,1880897.0,21205
6,4.36936363636,101,14,12.797,201.0,"ABAGYAN, RUBEN",2,33,144.189,1774594.0,92093
7,8.82452173913,3,12,37.205,37.0,"ABALLAY, ALEJANDRO",1,23,202.964,3013392.0,27705
8,0.0,3,0,0.0,4.0,"ABARZUA, PATRICIO",0,0,0.0,1138005.0,8902
9,7.12518181818,19,34,41.667,67.0,"ABATE, ADAM",1,44,313.508,3119402.0,94118
10,12.72005,13,14,40.137,67.0,"ABATE-SHEN, CORY",3,20,254.401,4459534.0,10032
11,10.567,10,5,40.137,69.0,"ABBAS, ABUL",7,21,221.907,418564.0,53224
12,8.59457142857,20,5,14.714,40.0,"ABBAS, TAREK",3,7,60.162,724589.0,22904
13,8.39317647059,145,71,72.406,395.0,"ABBATE, ANTONIO",14,102,856.104,1717371.0,23298
14,2.05172413793,19,28,3.789,66.0,"ABBEDUTO, LEONARD",0,29,59.5,7326852.0,95618
15,2.35638461538,17,9,5.789,57.0,"ABBEY, ANTONIA",2,13,30.633,376023.0,48202
16,2.33854545455,27,9,3.942,75.0,"ABBEY, CRAIG",0,11,25.724,383658.0,93106
17,0.0,10,0,0.0,13.0,"ABBOSH, PHILIP",0,0,0.0,199013.0,19111
18,6.4606,3,3,8.851,13.0,"ABBOTT, ALLISON",1,5,32.303,792902.0,53201
